"행정구역","2020년05월_계_총인구수","2020년05월_계_연령구간인구수","2020년05월_계_0세","2020년05월_계_1세","2020년05월_계_2세","2020년05월_계_3세","2020년05월_계_4세","2020년05월_계_5세","2020년05월_계_6세","2020년05월_계_7세","2020년05월_계_8세","2020년05월_계_9세","2020년05월_계_10세","2020년05월_계_11세","2020년05월_계_12세","2020년05월_계_13세","2020년05월_계_14세","2020년05월_계_15세","2020년05월_계_16세","2020년05월_계_17세","2020년05월_계_18세","2020년05월_계_19세","2020년05월_계_20세","2020년05월_계_21세","2020년05월_계_22세","2020년05월_계_23세","2020년05월_계_24세","2020년05월_계_25세","2020년05월_계_26세","2020년05월_계_27세","2020년05월_계_28세","2020년05월_계_29세","2020년05월_계_30세","2020년05월_계_31세","2020년05월_계_32세","2020년05월_계_33세","2020년05월_계_34세","2020년05월_계_35세","2020년05월_계_36세","2020년05월_계_37세","2020년05월_계_38세","2020년05월_계_39세","2020년05월_계_40세","2020년05월_계_41세","2020년05월_계_42세","2020년05월_계_43세","2020년05월_계_44세","2020년05월_계_45세","2020년05월_계_46세","2020년05월_계_47세","2020년05월_계_48세","2020년05월_계_49세","2020년05월_계_50세","2020년05월_계_51세","2020년05월_계_52세","2020년05월_계_53세","2020년05월_계_54세","2020년05월_계_55세","2020년05월_계_56세","2020년05월_계_57세","2020년05월_계_58세","2020년05월_계_59세","2020년05월_계_60세","2020년05월_계_61세","2020년05월_계_62세","2020년05월_계_63세","2020년05월_계_64세","2020년05월_계_65세","2020년05월_계_66세","2020년05월_계_67세","2020년05월_계_68세","2020년05월_계_69세","2020년05월_계_70세","2020년05월_계_71세","2020년05월_계_72세","2020년05월_계_73세","2020년05월_계_74세","2020년05월_계_75세","2020년05월_계_76세","2020년05월_계_77세","2020년05월_계_78세","2020년05월_계_79세","2020년05월_계_80세","2020년05월_계_81세","2020년05월_계_82세","2020년05월_계_83세","2020년05월_계_84세","2020년05월_계_85세","2020년05월_계_86세","2020년05월_계_87세","2020년05월_계_88세","2020년05월_계_89세","2020년05월_계_90세","2020년05월_계_91세","2020년05월_계_92세","2020년05월_계_93세","2020년05월_계_94세","2020년05월_계_95세","2020년05월_계_96세","2020년05월_계_97세","2020년05월_계_98세","2020년05월_계_99세","2020년05월_계_100세 이상"
"서울특별시 도봉구 (1132000000)","330,149","330,149","1,356","1,498","1,716","1,857","2,097","2,217","2,052","2,259","2,344","2,429","2,260","2,304","2,467","2,401","2,318","2,470","2,818","2,795","3,173","3,645","3,885","3,951","4,245","4,483","4,646","4,624","4,734","4,831","4,745","4,364","4,042","4,061","3,764","3,753","3,923","3,949","4,296","4,660","4,892","4,940","4,834","4,226","4,315","4,281","4,441","4,962","5,317","5,556","5,859","6,101","5,876","6,262","5,650","5,472","5,596","5,598","5,233","6,031","5,676","6,682","6,295","5,818","5,712","5,433","5,129","5,324","3,932","4,019","3,660","3,122","3,343","3,116","3,320","3,228","2,211","2,385","2,385","2,676","2,701","2,070","1,938","1,750","1,496","1,314","1,193","967","839","705","604","443","381","335","263","202","124","80","76","79","52","27","170"
"서울특별시 노원구 (1135000000)","529,617","529,617","2,358","2,595","2,924","3,142","3,598","3,750","3,735","4,123","4,230","4,534","4,280","4,645","5,362","5,043","5,068","5,382","5,885","5,759","6,312","7,401","7,433","7,443","7,919","7,898","7,901","7,433","7,300","7,360","7,025","6,283","6,137","6,237","5,860","6,062","6,314","6,152","6,902","7,260","7,774","7,902","8,041","7,341","7,604","7,694","8,017","8,918","9,804","9,962","10,233","10,850","10,066","10,232","9,086","8,432","8,512","8,268","7,556","8,817","8,282","9,246","8,574","8,075","7,799","7,235","6,942","7,172","5,568","5,451","5,134","4,268","4,647","4,340","4,410","4,241","3,009","3,316","3,170","3,651","3,491","2,812","2,578","2,422","2,140","1,895","1,661","1,472","1,209","1,024","858","718","584","464","380","277","178","135","127","114","69","60","265"
"서울특별시 은평구 (1138000000)","478,029","478,029","2,138","2,549","2,641","2,873","3,290","3,412","3,139","3,540","3,471","3,561","3,484","3,586","3,765","3,650","3,546","3,693","4,124","4,166","4,401","5,201","5,412","5,477","5,884","6,408","6,575","6,986","7,335","7,660","7,447","7,067","6,644","6,486","6,234","6,283","6,342","6,367","6,957","7,552","7,922","7,914","7,868","6,776","6,950","6,719","7,257","7,587","8,195","8,490","8,686","8,716","8,245","8,592","7,547","7,358","7,324","7,347","6,890","7,796","7,451","8,508","8,034","7,543","7,117","6,661","6,456","6,761","5,388","5,325","4,764","4,248","4,686","4,441","4,684","4,414","3,286","3,396","3,338","3,864","3,700","2,805","2,671","2,417","2,069","1,898","1,624","1,363","1,015","810","745","550","474","419","327","220","172","125","120","105","55","42","413"
"서울특별시 서대문구 (1141000000)","312,869","312,869","1,596","1,713","1,900","2,015","2,233","2,265","2,197","2,282","2,172","2,260","2,170","2,113","2,218","2,256","2,140","2,275","2,429","2,559","2,734","3,511","3,846","4,089","4,503","5,047","5,442","5,519","5,556","5,571","5,477","4,920","4,602","4,417","4,229","4,322","4,286","4,302","4,495","4,755","5,002","4,908","4,847","4,268","4,307","4,285","4,381","4,637","5,154","5,182","5,438","5,573","5,457","5,496","4,966","4,753","4,812","4,839","4,486","4,955","4,647","5,281","4,837","4,639","4,385","4,042","3,980","4,022","3,167","3,206","2,796","2,476","2,835","2,602","2,820","2,904","2,020","2,195","2,163","2,559","2,440","1,872","1,876","1,733","1,472","1,307","1,245","996","770","632","493","416","386","286","249","189","133","96","79","69","63","47","282"
"서울특별시 마포구 (1144000000)","374,837","374,837","2,112","2,360","2,345","2,689","2,837","2,738","2,608","2,853","2,676","2,791","2,590","2,768","3,024","2,720","2,688","2,734","2,908","2,821","3,153","3,818","4,279","4,466","5,243","5,671","6,471","6,538","7,023","7,438","7,510","6,929","6,586","6,596","6,361","6,330","6,448","6,253","6,681","6,683","6,937","6,611","6,408","5,818","5,644","5,763","5,812","6,119","6,458","6,640","6,690","6,772","6,275","6,211","5,563","5,124","5,289","5,357","4,858","5,236","4,942","5,600","5,213","4,715","4,452","4,249","4,069","4,135","3,186","3,230","2,996","2,504","2,836","2,760","2,846","2,831","1,980","2,263","2,163","2,516","2,358","1,933","1,754","1,641","1,442","1,318","1,170","958","807","674","588","444","372","327","240","196","101","97","83","96","49","54","325"
"서울특별시 양천구 (1147000000)","458,181","458,181","1,926","2,289","2,449","2,989","3,242","3,458","3,766","4,195","4,235","4,534","4,490","4,694","5,414","5,080","4,877","5,184","5,359","5,255","5,509","5,802","5,930","5,862","5,944","5,879","6,144","6,185","6,257","6,368","6,294","5,803","5,550","5,380","5,227","5,232","5,581","5,450","6,150","6,606","7,049","7,302","7,511","6,995","7,129","7,013","7,627","8,055","8,630","8,836","9,182","9,297","8,711","8,929","7,778","7,433","7,435","7,528","6,722","7,612","6,948","7,971","7,391","6,773","6,394","6,135","5,825","6,062","4,663","4,688","4,329","3,534","3,814","3,649","3,500","3,261","2,170","2,484","2,265","2,519","2,322","1,815","1,700","1,554","1,369","1,258","1,133","912","829","689","585","452","386","340","250","168","147","103","85","74","58","41","173"
"서울특별시 강서구 (1150000000)","587,553","587,553","3,397","3,542","3,756","4,005","4,605","4,465","4,473","4,706","4,681","4,553","4,068","4,278","4,648","4,240","4,148","4,307","4,690","4,717","5,134","5,954","6,091","6,217","6,836","7,505","8,461","9,369","10,042","10,925","11,231","10,691","10,344","10,127","9,638","9,798","9,755","9,537","9,943","10,570","10,976","10,431","10,343","9,124","8,788","8,410","8,668","8,975","9,559","9,625","9,443","9,548","9,085","9,452","8,320","8,065","8,117","8,655","7,862","9,209","8,905","10,357","9,708","9,112","8,762","8,220","7,883","8,073","6,293","6,435","5,667","4,695","5,338","4,816","4,855","4,689","3,125","3,403","3,053","3,413","3,055","2,617","2,351","2,200","1,825","1,612","1,558","1,337","1,079","940","785","655","549","502","382","257","225","146","122","95","81","43","233"
"서울특별시 구로구 (1153000000)","405,030","405,030","2,216","2,677","2,692","2,843","3,190","3,143","3,033","3,185","3,133","3,303","2,947","2,963","3,119","2,793","2,784","2,725","3,011","3,120","3,385","3,965","4,267","4,177","4,693","5,118","5,731","5,990","6,212","6,461","6,604","6,291","6,107","6,207","5,991","6,042","6,045","5,948","6,412","6,915","7,077","6,980","6,955","6,092","6,081","5,874","5,950","6,143","6,563","6,719","6,701","6,837","6,501","6,765","6,125","5,954","6,151","6,289","5,682","6,600","6,274","7,227","6,892","6,421","6,218","5,767","5,705","5,812","4,804","4,665","4,353","3,685","4,188","3,883","3,873","3,700","2,487","2,795","2,607","2,872","2,691","2,073","1,835","1,818","1,496","1,305","1,183","988","752","664","491","414","333","304","209","169","126","82","84","66","41","32","169"
"서울특별시 금천구 (1154500000)","232,425","232,425","1,023","1,186","1,266","1,336","1,432","1,407","1,374","1,401","1,396","1,437","1,285","1,317","1,398","1,420","1,387","1,392","1,529","1,684","1,735","2,143","2,392","2,568","2,954","3,160","3,629","3,907","4,467","4,664","4,631","4,214","3,949","3,836","3,538","3,495","3,431","3,191","3,460","3,492","3,635","3,585","3,405","2,997","2,999","2,914","3,012","3,249","3,536","3,741","3,750","4,007","3,961","4,080","3,946","3,773","4,098","4,122","3,827","4,373","4,108","4,700","4,349","4,055","3,640","3,407","3,352","3,450","2,670","2,575","2,515","2,075","2,354","2,156","2,098","2,132","1,454","1,598","1,487","1,703","1,604","1,177","1,126","1,044","815","697","647","533","451","384","295","257","186","138","146","92","60","57","44","34","27","26","171"
"서울특별시 영등포구 (1156000000)","372,568","372,568","2,281","2,462","2,573","2,570","2,880","2,717","2,490","2,535","2,519","2,479","2,262","2,238","2,350","2,241","2,154","2,239","2,461","2,449","2,694","3,438","3,652","3,866","4,310","4,754","5,439","6,251","6,722","7,558","8,028","7,364","7,112","7,199","6,964","6,572","6,661","6,437","6,540","6,620","6,742","6,373","6,067","5,366","5,196","5,138","5,142","5,298","5,604","5,826","5,988","6,189","5,813","6,030","5,383","5,417","5,456","5,582","5,191","5,927","5,485","6,194","5,828","5,599","5,294","4,915","4,723","4,894","3,724","3,881","3,574","3,135","3,372","3,248","3,224","3,090","2,235","2,369","2,298","2,572","2,468","1,895","1,774","1,667","1,427","1,384","1,180","1,055","805","691","531","421","338","290","238","186","121","103","82","85","50","40","274"
"서울특별시 동작구 (1159000000)","395,180","395,180","1,996","2,161","2,373","2,507","2,840","2,880","2,639","2,852","2,783","2,821","2,566","2,692","2,676","2,681","2,473","2,667","2,754","2,954","3,232","4,165","4,519","4,939","5,629","6,149","7,100","7,491","7,764","7,937","8,112","7,191","6,911","6,658","6,297","6,084","6,055","5,813","6,138","6,411","6,631","6,366","6,538","5,735","5,517","5,508","5,512","5,882","6,216","6,168","6,433","6,504","6,327","6,466","5,729","5,510","5,570","5,782","5,412","5,970","5,785","6,469","6,293","5,663","5,553","5,094","5,058","5,153","4,158","4,037","3,897","3,309","3,656","3,541","3,502","3,546","2,444","2,661","2,479","2,846","2,685","2,111","1,990","1,811","1,479","1,415","1,247","983","852","720","563","454","384","374","257","202","146","104","102","78","46","41","306"
"서울특별시 관악구 (1162000000)","499,431","499,431","1,883","2,027","2,092","2,353","2,553","2,614","2,448","2,571","2,678","2,650","2,501","2,509","2,742","2,677","2,587","2,701","2,993","2,997","3,621","4,682","5,436","6,337","7,855","9,398","11,383","12,756","14,104","14,749","14,438","12,598","11,558","10,803","9,314","8,867","8,198","7,664","7,782","7,887","8,240","7,854","7,612","6,590","6,392","6,316","6,463","6,754","7,251","7,405","7,413","7,715","7,298","7,333","6,699","6,457","6,748","6,824","6,136","7,160","6,711","7,662","7,371","6,869","6,424","6,015","6,011","6,323","4,966","4,961","5,013","4,170","4,686","4,387","4,342","4,336","3,003","3,318","3,165","3,641","3,297","2,577","2,303","2,112","1,729","1,495","1,245","1,084","853","655","606","458","367","340","263","204","132","94","81","94","55","33","314"
"서울특별시 서초구 (1165000000)","429,340","429,340","2,199","2,544","2,752","3,016","3,484","3,769","3,942","4,453","4,396","4,619","4,446","4,518","4,715","4,583","4,273","4,468","4,568","4,385","4,543","4,980","4,957","4,904","5,099","5,087","5,462","5,675","5,789","6,295","6,577","6,387","6,023","6,380","5,950","6,177","5,952","5,965","6,614","7,131","7,683","7,666","7,836","7,110","7,240","7,377","7,441","7,657","8,393","8,389","8,360","8,483","7,897","7,519","6,768","5,942","5,891","6,058","5,656","5,834","5,558","5,970","5,739","5,593","5,501","5,122","4,887","5,094","4,198","4,166","3,601","3,119","3,545","3,346","3,417","3,337","2,471","2,413","2,237","2,324","2,181","1,722","1,560","1,418","1,250","1,139","987","946","681","575","538","421","371","357","286","201","156","115","101","100","55","48","217"
"서울특별시 강남구 (1168000000)","541,915","541,915","2,320","2,611","2,857","3,129","3,630","3,930","4,323","4,928","4,959","5,336","5,085","5,458","6,301","5,974","5,632","5,875","6,193","5,951","5,916","7,050","6,554","6,479","6,734","6,751","7,178","7,525","8,178","8,559","8,836","8,380","8,377","8,222","7,755","7,776","7,967","7,663","8,406","8,924","9,561","9,610","9,768","9,158","9,128","9,263","9,415","9,929","10,379","10,645","10,954","11,049","10,368","9,814","8,493","7,729","7,655","7,519","7,068","7,276","6,703","7,395","6,884","6,627","6,687","6,320","6,126","6,387","5,228","5,322","4,670","3,909","4,424","4,254","4,213","4,234","2,931","2,987","2,815","2,753","2,597","2,153","1,837","1,674","1,504","1,287","1,213","1,006","870","730","656","548","481","437","307","272","198","154","114","85","81","58","281"
"서울특별시 송파구 (1171000000)","672,089","672,089","3,735","4,283","4,571","5,131","5,612","5,585","5,458","5,922","5,885","6,083","5,692","5,540","6,061","5,831","5,516","5,689","5,967","5,938","6,408","7,495","7,736","7,473","8,030","8,563","9,458","9,869","10,498","11,292","11,507","10,899","11,110","11,205","10,558","10,715","11,074","10,505","11,357","12,058","12,381","12,264","12,012","10,726","10,288","10,143","10,146","10,670","11,144","11,320","11,592","11,811","11,168","11,444","10,457","9,613","10,071","10,054","9,384","10,513","9,923","11,134","10,425","9,771","9,674","8,867","8,637","9,026","7,001","7,070","6,207","5,121","5,442","5,076","4,985","4,996","3,270","3,464","3,150","3,377","3,114","2,383","2,177","1,995","1,798","1,613","1,454","1,251","1,090","949","800","615","540","493","371","318","202","147","124","123","74","48","284"
"서울특별시 강동구 (1174000000)","456,312","456,312","2,546","2,864","3,073","3,351","3,725","3,821","3,794","3,873","3,891","3,964","3,807","3,758","4,073","3,762","3,517","3,662","3,903","3,886","4,174","4,975","4,948","4,953","5,338","5,646","6,089","6,360","6,608","7,219","7,229","6,770","6,780","6,634","6,513","6,594","6,684","6,805","7,256","7,722","8,382","8,239","8,089","7,368","6,989","6,726","6,749","7,005","7,454","7,628","7,698","7,796","7,370","7,831","7,061","6,816","6,848","7,108","6,584","7,701","7,206","8,450","7,950","7,350","7,038","6,682","6,373","6,713","5,165","5,211","4,616","3,728","4,159","3,825","3,861","3,594","2,467","2,554","2,414","2,605","2,364","1,831","1,679","1,515","1,346","1,131","1,073","931","754","643","568","447","408","385","262","235","152","103","92","89","53","38","243"
